dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,snr_db,fading,coherence_symbols,empirical_ber,theory_ber,channel_kind,n_comp,dimension,method_label
sim_indoor_v1,test_id,quantized,512,188.0,0.01250081804073755,0,0.0,0,0.5434962717481359,0.46896377264562883,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,none,4.0,none,32,0.01216547539893617,0.01250081804073755,matched_ber,,,quantized/matched_ber
sim_indoor_v1,test_id,quantized,512,188.0,0.03750612835892598,0,0.0,0,0.4283347141673571,0.37593767648862003,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,none,2.0,none,32,0.03665226063829788,0.03750612835892598,matched_ber,,,quantized/matched_ber
sim_indoor_v1,test_id,quantized,512,188.0,0.07864960352514258,0,0.0,0,0.3106876553438277,0.2846226111606095,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,none,0.0,none,32,0.07807305518617022,0.07864960352514258,matched_ber,,,quantized/matched_ber
sim_indoor_v1,test_id,quantized,512,188.0,0.13064448852282917,0,0.0,0,0.24606462303231152,0.2215321366080715,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,none,-2.0,none,32,0.12994514627659576,0.13064448852282917,matched_ber,,,quantized/matched_ber
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.7390223695111847,0.6337820530784224,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,bpsk,8.0,none,32,0.0001983642578125,0.00019090777407599314,bpsk_awgn,126.0,,pca/bpsk_awgn
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.5708367854183927,0.4861440671144429,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,bpsk,6.0,none,32,0.002429962158203125,0.002388290780932807,bpsk_awgn,126.0,,pca/bpsk_awgn
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.29411764705882354,0.2644000421686553,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,bpsk,4.0,none,32,0.01236724853515625,0.01250081804073755,bpsk_awgn,126.0,,pca/bpsk_awgn
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.1855840927920464,0.17512081518457762,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,bpsk,2.0,none,32,0.03694915771484375,0.03750612835892598,bpsk_awgn,126.0,,pca/bpsk_awgn
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.16652858326429162,0.15964723255266405,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,bpsk,0.0,none,32,0.07741546630859375,0.07864960352514258,bpsk_awgn,126.0,,pca/bpsk_awgn
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.15741507870753935,0.1512096630825978,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,bpsk,-2.0,none,32,0.12916183471679688,0.13064448852282917,bpsk_awgn,126.0,,pca/bpsk_awgn
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.19138359569179786,0.17571206656960844,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,bpsk,8.0,rayleigh_block,32,0.03678131103515625,0.03545906762783807,bpsk_rayleigh_block,126.0,,pca/bpsk_rayleigh_block
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.18227009113504558,0.17165851501996104,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,bpsk,6.0,rayleigh_block,32,0.054691314697265625,0.052998883925638784,bpsk_rayleigh_block,126.0,,pca/bpsk_rayleigh_block
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.17895608947804473,0.1692003839812892,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,bpsk,4.0,rayleigh_block,32,0.0789642333984375,0.07713691605639106,bpsk_rayleigh_block,126.0,,pca/bpsk_rayleigh_block
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.17812758906379453,0.17015149969592486,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,bpsk,2.0,rayleigh_block,32,0.11053848266601562,0.10848473204958436,bpsk_rayleigh_block,126.0,,pca/bpsk_rayleigh_block
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.17067108533554268,0.16152516799233974,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,bpsk,0.0,rayleigh_block,32,0.14886093139648438,0.1464466094067262,bpsk_rayleigh_block,126.0,,pca/bpsk_rayleigh_block
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.16818558409279205,0.15881426256504433,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,bpsk,-2.0,rayleigh_block,32,0.1915740966796875,0.18900836834134227,bpsk_rayleigh_block,126.0,,pca/bpsk_rayleigh_block
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.7373653686826843,0.6267529137280458,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,qpsk,8.0,none,32,0.00014495849609375,0.00019090777407599314,qpsk_awgn,126.0,,pca/qpsk_awgn
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.5973487986743994,0.5129132872240337,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,qpsk,6.0,none,32,0.002361297607421875,0.002388290780932807,qpsk_awgn,126.0,,pca/qpsk_awgn
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.28417564208782103,0.2565426214433159,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,qpsk,4.0,none,32,0.012371063232421875,0.01250081804073755,qpsk_awgn,126.0,,pca/qpsk_awgn
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.18309859154929578,0.17418879577187235,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,qpsk,2.0,none,32,0.037563323974609375,0.03750612835892598,qpsk_awgn,126.0,,pca/qpsk_awgn
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.17978458989229495,0.17337998078134792,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,qpsk,0.0,none,32,0.07843780517578125,0.07864960352514258,qpsk_awgn,126.0,,pca/qpsk_awgn
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.17315658657829328,0.16313448278937576,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,qpsk,-2.0,none,32,0.13050460815429688,0.13064448852282917,qpsk_awgn,126.0,,pca/qpsk_awgn
sim_indoor_v1,test_id,pca,512,512.0,0.00019090777407599314,0,0.0,0,0.7390223695111847,0.6276621753631265,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,none,8.0,none,32,0.00017547607421875,0.00019090777407599314,matched_ber,126.0,,pca/matched_ber
sim_indoor_v1,test_id,pca,512,512.0,0.002388290780932807,0,0.0,0,0.5865782932891467,0.49838717174988467,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,none,6.0,none,32,0.0023193359375,0.002388290780932807,matched_ber,126.0,,pca/matched_ber
sim_indoor_v1,test_id,pca,512,512.0,0.01250081804073755,0,0.0,0,0.3007456503728252,0.2733076194758498,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,none,4.0,none,32,0.01256561279296875,0.01250081804073755,matched_ber,126.0,,pca/matched_ber
sim_indoor_v1,test_id,pca,512,512.0,0.03750612835892598,0,0.0,0,0.2187241093620547,0.20893286355941804,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,none,2.0,none,32,0.03739166259765625,0.03750612835892598,matched_ber,126.0,,pca/matched_ber
sim_indoor_v1,test_id,pca,512,512.0,0.07864960352514258,0,0.0,0,0.1855840927920464,0.17732535192477744,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,none,0.0,none,32,0.07827377319335938,0.07864960352514258,matched_ber,126.0,,pca/matched_ber
sim_indoor_v1,test_id,pca,512,512.0,0.13064448852282917,0,0.0,0,0.1615575807787904,0.14797226757187326,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,none,-2.0,none,32,0.1301422119140625,0.13064448852282917,matched_ber,126.0,,pca/matched_ber
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9154929577464789,0.8669178078068697,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,bpsk,8.0,none,32,0.000186920166015625,0.00019090777407599314,bpsk_awgn,,4096.0,binary_hash/bpsk_awgn
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9088649544324772,0.8595473942324856,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,bpsk,6.0,none,32,0.002384185791015625,0.002388290780932807,bpsk_awgn,,4096.0,binary_hash/bpsk_awgn
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9014084507042254,0.8537702527023491,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,bpsk,4.0,none,32,0.01244354248046875,0.01250081804073755,bpsk_awgn,,4096.0,binary_hash/bpsk_awgn
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.8964374482187241,0.8451502176872738,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,bpsk,2.0,none,32,0.037322998046875,0.03750612835892598,bpsk_awgn,,4096.0,binary_hash/bpsk_awgn
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.8649544324772163,0.8054199232811982,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,bpsk,0.0,none,32,0.0781402587890625,0.07864960352514258,bpsk_awgn,,4096.0,binary_hash/bpsk_awgn
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.831814415907208,0.7715387470919983,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,bpsk,-2.0,none,32,0.1308135986328125,0.13064448852282917,bpsk_awgn,,4096.0,binary_hash/bpsk_awgn
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9014084507042254,0.8512233976198385,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,bpsk,8.0,rayleigh_block,32,0.036106109619140625,0.03545906762783807,bpsk_rayleigh_block,,4096.0,binary_hash/bpsk_rayleigh_block
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.8806959403479702,0.8241605597310409,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,bpsk,6.0,rayleigh_block,32,0.054409027099609375,0.052998883925638784,bpsk_rayleigh_block,,4096.0,binary_hash/bpsk_rayleigh_block
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.8550124275062138,0.7945450948111622,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,bpsk,4.0,rayleigh_block,32,0.07862091064453125,0.07713691605639106,bpsk_rayleigh_block,,4096.0,binary_hash/bpsk_rayleigh_block
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.844241922120961,0.7856500582156094,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,bpsk,2.0,rayleigh_block,32,0.11060333251953125,0.10848473204958436,bpsk_rayleigh_block,,4096.0,binary_hash/bpsk_rayleigh_block
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.8003314001657,0.7411290807093334,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,bpsk,0.0,rayleigh_block,32,0.14913177490234375,0.1464466094067262,bpsk_rayleigh_block,,4096.0,binary_hash/bpsk_rayleigh_block
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.7572493786246893,0.6826908809415441,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,bpsk,-2.0,rayleigh_block,32,0.19153976440429688,0.18900836834134227,bpsk_rayleigh_block,,4096.0,binary_hash/bpsk_rayleigh_block
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9163214581607291,0.8668144895077555,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,qpsk,8.0,none,32,0.0001373291015625,0.00019090777407599314,qpsk_awgn,,4096.0,binary_hash/qpsk_awgn
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9154929577464789,0.867496040470213,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,qpsk,6.0,none,32,0.00229644775390625,0.002388290780932807,qpsk_awgn,,4096.0,binary_hash/qpsk_awgn
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9138359569179785,0.8625173028102859,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,qpsk,4.0,none,32,0.012165069580078125,0.01250081804073755,qpsk_awgn,,4096.0,binary_hash/qpsk_awgn
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.8864954432477217,0.8308050107847513,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,qpsk,2.0,none,32,0.036956787109375,0.03750612835892598,qpsk_awgn,,4096.0,binary_hash/qpsk_awgn
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.8566694283347142,0.784478765160651,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,qpsk,0.0,none,32,0.07769393920898438,0.07864960352514258,qpsk_awgn,,4096.0,binary_hash/qpsk_awgn
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.8135874067937034,0.7334589495265315,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,qpsk,-2.0,none,32,0.13026809692382812,0.13064448852282917,qpsk_awgn,,4096.0,binary_hash/qpsk_awgn
sim_indoor_v1,test_id,binary_hash,512,512.0,0.00019090777407599314,0,0.0,0,0.9138359569179785,0.8649815708343749,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,none,8.0,none,32,0.00017547607421875,0.00019090777407599314,matched_ber,,4096.0,binary_hash/matched_ber
sim_indoor_v1,test_id,binary_hash,512,512.0,0.002388290780932807,0,0.0,0,0.9179784589892295,0.871283617443303,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,none,6.0,none,32,0.0023193359375,0.002388290780932807,matched_ber,,4096.0,binary_hash/matched_ber
sim_indoor_v1,test_id,binary_hash,512,512.0,0.01250081804073755,0,0.0,0,0.9072079536039768,0.8682222682906847,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,none,4.0,none,32,0.01256561279296875,0.01250081804073755,matched_ber,,4096.0,binary_hash/matched_ber
sim_indoor_v1,test_id,binary_hash,512,512.0,0.03750612835892598,0,0.0,0,0.8947804473902237,0.8360862813248346,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,none,2.0,none,32,0.03739166259765625,0.03750612835892598,matched_ber,,4096.0,binary_hash/matched_ber
sim_indoor_v1,test_id,binary_hash,512,512.0,0.07864960352514258,0,0.0,0,0.8649544324772163,0.8029747712620106,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,none,0.0,none,32,0.07827377319335938,0.07864960352514258,matched_ber,,4096.0,binary_hash/matched_ber
sim_indoor_v1,test_id,binary_hash,512,512.0,0.13064448852282917,0,0.0,0,0.8003314001657,0.7274897434077469,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,none,-2.0,none,32,0.1301422119140625,0.13064448852282917,matched_ber,,4096.0,binary_hash/matched_ber
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7290803645401823,0.6632608836837786,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,bpsk,8.0,none,32,0.0001983642578125,0.00019090777407599314,bpsk_awgn,,4096.0,pure_hdc_D4096/bpsk_awgn
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7299088649544325,0.6632426265992237,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,bpsk,6.0,none,32,0.002468109130859375,0.002388290780932807,bpsk_awgn,,4096.0,pure_hdc_D4096/bpsk_awgn
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7216238608119304,0.6538964083883185,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,bpsk,4.0,none,32,0.01255035400390625,0.01250081804073755,bpsk_awgn,,4096.0,pure_hdc_D4096/bpsk_awgn
