dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,dimension,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,theory_ber,hdc_head,hybrid_mode,frontend,mix,method_label
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.05,0,0.0,0,0.9304059652029826,0.8848712562022353,0.0,0.0,0.0,0.0,163880,1142292,a46535d,4096,False,0,none,none,32,0.04975128173828125,0.05,linear,task/scan/linear/none,scan,none,hybrid_hdc:task/scan/linear/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.1,0,0.0,0,0.9229494614747308,0.8754353807263684,0.0,0.0,0.0,0.0,163880,1142292,a46535d,4096,False,0,none,none,32,0.09943008422851562,0.1,linear,task/scan/linear/none,scan,none,hybrid_hdc:task/scan/linear/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.7580778790389395,0.6574397994218484,0.0,0.0,0.0,0.0,81940,2010644,a46535d,4096,False,0,none,none,32,0.0,,prototype,task/scan/prototype/record,scan,record,hybrid_hdc:task/scan/prototype/record
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.01,0,0.0,0,0.7597348798674399,0.6587582684439223,0.0,0.0,0.0,0.0,81940,2010644,a46535d,4096,False,0,none,none,32,0.00998687744140625,0.01,prototype,task/scan/prototype/record,scan,record,hybrid_hdc:task/scan/prototype/record
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.05,0,0.0,0,0.7555923777961889,0.6542607560291838,0.0,0.0,0.0,0.0,81940,2010644,a46535d,4096,False,0,none,none,32,0.04975128173828125,0.05,prototype,task/scan/prototype/record,scan,record,hybrid_hdc:task/scan/prototype/record
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.1,0,0.0,0,0.7555923777961889,0.6553484199150145,0.0,0.0,0.0,0.0,81940,2010644,a46535d,4096,False,0,none,none,32,0.09943008422851562,0.1,prototype,task/scan/prototype/record,scan,record,hybrid_hdc:task/scan/prototype/record
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.9544324772162386,0.9240822339343924,0.0,0.0,0.0,0.0,163880,2010644,a46535d,4096,False,0,none,none,32,0.0,,linear,task/scan/linear/record,scan,record,hybrid_hdc:task/scan/linear/record
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.01,0,0.0,0,0.9527754763877382,0.9219761904880794,0.0,0.0,0.0,0.0,163880,2010644,a46535d,4096,False,0,none,none,32,0.00998687744140625,0.01,linear,task/scan/linear/record,scan,record,hybrid_hdc:task/scan/linear/record
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.05,0,0.0,0,0.9453189726594863,0.9093823532974253,0.0,0.0,0.0,0.0,163880,2010644,a46535d,4096,False,0,none,none,32,0.04975128173828125,0.05,linear,task/scan/linear/record,scan,record,hybrid_hdc:task/scan/linear/record
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.1,0,0.0,0,0.9469759734879868,0.9130678398493375,0.0,0.0,0.0,0.0,163880,2010644,a46535d,4096,False,0,none,none,32,0.09943008422851562,0.1,linear,task/scan/linear/record,scan,record,hybrid_hdc:task/scan/linear/record
