dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,n_comp,dimension,method_label
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,128,0.0,0,0.7265948632974316,0.6591762101344394,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,1,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,128,0.0,0,0.728251864125932,0.6604358343678567,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,True,1,,4096.0,pure_hdc_D4096+intl
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,512,0.0,0,0.7290803645401823,0.659387434906659,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,1,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,512,0.0,0,0.7307373653686827,0.6639163247298848,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,True,1,,4096.0,pure_hdc_D4096+intl
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,1024,0.0,0,0.724109362054681,0.6519697115152747,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,1,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,1024,0.0,0,0.7158243579121789,0.6381099118699334,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,True,1,,4096.0,pure_hdc_D4096+intl
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,1,0.7473073736536868,0.6436382849372578,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,32,0.0,1,0.5973487986743994,0.5121302914075627,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,1,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,32,0.0,1,0.487986743993372,0.4304666735267224,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,True,1,,,quantized+intl
sim_indoor_v1,test_id,quantized,512,188.0,0.0,128,0.0,1,0.4995857497928749,0.43185245460921784,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,1,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,128,0.0,1,0.2908036454018227,0.2597040655211459,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,True,1,,,quantized+intl
sim_indoor_v1,test_id,quantized,512,188.0,0.0,512,0.0,1,0.2543496271748136,0.17400013027638098,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,1,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,512,0.0,1,0.18392709196354598,0.1514500181079403,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,True,1,,,quantized+intl
sim_indoor_v1,test_id,quantized,512,188.0,0.0,1024,0.0,1,0.2087821043910522,0.1031828232083202,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,1,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,1024,0.0,1,0.14250207125103562,0.12574306334621582,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,True,1,,,quantized+intl
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,1,0.7547638773819387,0.6430222945087841,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,32,0.0,1,0.32145816072908034,0.2848608271062044,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,1,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,32,0.0,1,0.376139188069594,0.3363559857380706,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,True,1,126.0,,pca+intl
sim_indoor_v1,test_id,pca,512,512.0,0.0,128,0.0,1,0.2435791217895609,0.22297603310509295,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,1,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,128,0.0,1,0.20215410107705054,0.19190413833255562,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,True,1,126.0,,pca+intl
sim_indoor_v1,test_id,pca,512,512.0,0.0,512,0.0,1,0.18889809444904723,0.17418024723048509,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,1,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,512,0.0,1,0.17895608947804473,0.1687820820696874,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,True,1,126.0,,pca+intl
sim_indoor_v1,test_id,pca,512,512.0,0.0,1024,0.0,1,0.20215410107705054,0.1877297657952898,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,1,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,1024,0.0,1,0.17895608947804473,0.1707932397450756,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,True,1,126.0,,pca+intl
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,1,0.9270919635459818,0.8840642692353267,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,32,0.0,1,0.9188069594034797,0.8739183201947455,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,1,,4096.0,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,32,0.0,1,0.9188069594034797,0.8753872350962345,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,True,1,,4096.0,binary_hash+intl
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,128,0.0,1,0.9096934548467275,0.8642257956617623,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,1,,4096.0,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,128,0.0,1,0.9055509527754764,0.8574391416843776,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,True,1,,4096.0,binary_hash+intl
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,512,0.0,1,0.7970173985086992,0.73006568519285,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,1,,4096.0,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,512,0.0,1,0.8094449047224523,0.7506639430568243,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,True,1,,4096.0,binary_hash+intl
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,1024,0.0,1,0.6495443247721624,0.561459822335826,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,1,,4096.0,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,1024,0.0,1,0.6346313173156587,0.560791199712137,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,True,1,,4096.0,binary_hash+intl
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.7307373653686827,0.662479807302779,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,32,0.0,1,0.7307373653686827,0.663032337172212,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,1,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,32,0.0,1,0.7299088649544325,0.6623063752631674,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,True,1,,4096.0,pure_hdc_D4096+intl
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,128,0.0,1,0.728251864125932,0.660396777282732,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,1,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,128,0.0,1,0.7315658657829329,0.6630518507007241,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,True,1,,4096.0,pure_hdc_D4096+intl
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,512,0.0,1,0.7257663628831814,0.6555558505405338,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,1,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,512,0.0,1,0.7332228666114333,0.6647103259438752,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,True,1,,4096.0,pure_hdc_D4096+intl
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,1024,0.0,1,0.7232808616404308,0.6527923244148119,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,1,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,1024,0.0,1,0.7216238608119304,0.645727675360491,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,True,1,,4096.0,pure_hdc_D4096+intl
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,2,0.7473073736536868,0.6436382849372578,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,32,0.0,2,0.5915492957746479,0.5141233144351979,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,1,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,32,0.0,2,0.4780447390223695,0.42649954258475686,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,True,1,,,quantized+intl
sim_indoor_v1,test_id,quantized,512,188.0,0.0,128,0.0,2,0.4888152444076222,0.4233312944101737,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,1,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,128,0.0,2,0.3007456503728252,0.26726732425316746,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,True,1,,,quantized+intl
sim_indoor_v1,test_id,quantized,512,188.0,0.0,512,0.0,2,0.2311516155758078,0.15013094707906652,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,1,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,512,0.0,2,0.15824357912178957,0.13581643531141516,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,True,1,,,quantized+intl
sim_indoor_v1,test_id,quantized,512,188.0,0.0,1024,0.0,2,0.20961060480530241,0.09569723963458135,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,1,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,1024,0.0,2,0.14084507042253522,0.08770167743859733,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,True,1,,,quantized+intl
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,2,0.7547638773819387,0.6430222945087841,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,32,0.0,2,0.3140016570008285,0.2791138338352716,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,1,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,32,0.0,2,0.40265120132560067,0.361961489268396,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,True,1,126.0,,pca+intl
sim_indoor_v1,test_id,pca,512,512.0,0.0,128,0.0,2,0.22783761391880697,0.20255355454411833,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,1,126.0,,pca
