dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,method_tag,sweep,dimension,hdc_head,n_centroids,method_label
sim_indoor_v1,test_id,quantized,2048,188.0,0.0,0,0.0,0,0.7473073736536868,0.6436382849372578,0.0,0.0,0.0,0.0,3620,0,f288d40,180.0,False,0,none,none,32,0.0,quantized,k16_bandwidth,,,,quantized
sim_indoor_v1,test_ood,quantized,2048,188.0,0.0,0,0.0,0,0.7531010041346722,0.609553790350909,0.0,0.0,0.0,0.0,3620,0,f288d40,180.0,False,0,none,none,32,0.0,quantized,k16_bandwidth,,,,quantized
sim_indoor_v1,test_id,binary_hash,2048,2048.0,0.0,0,0.0,0,0.9486329743164872,0.916460715294089,0.0,0.0,0.0,0.0,327700,11796480,f288d40,,False,0,none,none,32,0.0,binary_hash,k16_bandwidth,16384.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,2048,2048.0,0.0,0,0.0,0,0.6296515062020083,0.5559728019199167,0.0,0.0,0.0,0.0,327700,11796480,f288d40,,False,0,none,none,32,0.0,binary_hash,k16_bandwidth,16384.0,,,binary_hash
sim_indoor_v1,test_id,pure_hdc,2048,2048.0,0.0,0,0.0,0,0.7365368682684341,0.671177293723099,0.0,0.0,0.0,0.0,327700,3473408,f288d40,,False,0,none,none,32,0.0,hdc_k1,k16_bandwidth,16384.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,2048,2048.0,0.0,0,0.0,0,0.7046662728883638,0.5959987056875165,0.0,0.0,0.0,0.0,327700,3473408,f288d40,,False,0,none,none,32,0.0,hdc_k1,k16_bandwidth,16384.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,2048,2048.0,0.0,0,0.0,0,0.9536039768019884,0.9246012782041413,0.0,0.0,0.0,0.0,5243200,3473408,f288d40,,False,0,none,none,32,0.0,hdc_k16,k16_bandwidth,16384.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,2048,2048.0,0.0,0,0.0,0,0.8535144713526285,0.7134995963393043,0.0,0.0,0.0,0.0,5243200,3473408,f288d40,,False,0,none,none,32,0.0,hdc_k16,k16_bandwidth,16384.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,2048,2048.0,0.0,0,0.0,0,0.9768019884009942,0.9594963344409276,0.0,0.0,0.0,0.0,655400,3473408,f288d40,,False,0,none,none,32,0.0,hdc_linear,k16_bandwidth,16384.0,linear,1.0,hdc_linear
sim_indoor_v1,test_ood,pure_hdc,2048,2048.0,0.0,0,0.0,0,0.8174837566450088,0.6633095947266899,0.0,0.0,0.0,0.0,655400,3473408,f288d40,,False,0,none,none,32,0.0,hdc_linear,k16_bandwidth,16384.0,linear,1.0,hdc_linear
