dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,invalid_mode,method_tag,sweep,dataset_name,label_source,theory_ber,dimension,hdc_head,n_centroids,method_label
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.9759036144578314,0.9751889887319926,0.0,0.0,0.0,0.0,262400,217088,2cb4d3c,,False,0,none,none,32,0.0,skip,hdc_k16,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,1024.0,prototype,16.0,hdc_k16
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.05,0,0.0,0,0.963855421686747,0.9627626035367287,0.0,0.0,0.0,0.0,262400,217088,2cb4d3c,,False,0,none,none,32,0.04931640625,skip,hdc_k16,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,1024.0,prototype,16.0,hdc_k16
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.1,0,0.0,0,0.963855421686747,0.9641025641025641,0.0,0.0,0.0,0.0,262400,217088,2cb4d3c,,False,0,none,none,32,0.0994720458984375,skip,hdc_k16,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,1024.0,prototype,16.0,hdc_k16
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.9146341463414634,0.9119897959183674,0.0,0.0,0.0,0.0,262400,217088,2cb4d3c,,False,0,none,none,32,0.0,skip,hdc_k16,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,1024.0,prototype,16.0,hdc_k16
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.05,0,0.0,0,0.9390243902439024,0.9377587694077056,0.0,0.0,0.0,0.0,262400,217088,2cb4d3c,,False,0,none,none,32,0.04931640625,skip,hdc_k16,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,1024.0,prototype,16.0,hdc_k16
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.1,0,0.0,0,0.9512195121951219,0.9501672144381018,0.0,0.0,0.0,0.0,262400,217088,2cb4d3c,,False,0,none,none,32,0.0994720458984375,skip,hdc_k16,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,1024.0,prototype,16.0,hdc_k16
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.9759036144578314,0.9761904761904762,0.0,0.0,0.0,0.0,32800,217088,2cb4d3c,,False,0,none,none,32,0.0,skip,hdc_linear,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,1024.0,linear,1.0,hdc_linear
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.05,0,0.0,0,0.963855421686747,0.963960578559274,0.0,0.0,0.0,0.0,32800,217088,2cb4d3c,,False,0,none,none,32,0.04931640625,skip,hdc_linear,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,1024.0,linear,1.0,hdc_linear
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.1,0,0.0,0,0.963855421686747,0.963960578559274,0.0,0.0,0.0,0.0,32800,217088,2cb4d3c,,False,0,none,none,32,0.0994720458984375,skip,hdc_linear,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,1024.0,linear,1.0,hdc_linear
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.9634146341463414,0.9627626035367287,0.0,0.0,0.0,0.0,32800,217088,2cb4d3c,,False,0,none,none,32,0.0,skip,hdc_linear,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,1024.0,linear,1.0,hdc_linear
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.05,0,0.0,0,0.9634146341463414,0.9627626035367287,0.0,0.0,0.0,0.0,32800,217088,2cb4d3c,,False,0,none,none,32,0.04931640625,skip,hdc_linear,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,1024.0,linear,1.0,hdc_linear
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.1,0,0.0,0,0.9512195121951219,0.9501672144381018,0.0,0.0,0.0,0.0,32800,217088,2cb4d3c,,False,0,none,none,32,0.0994720458984375,skip,hdc_linear,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,1024.0,linear,1.0,hdc_linear
lidardataframes_v1,test_id,quantized,128,128.0,0.0,0,0.0,1,0.9036144578313253,0.898989898989899,0.0,0.0,0.0,0.0,1936,0,2cb4d3c,120.0,False,0,none,none,32,0.0,fill,quantized,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,,,,quantized
