dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,invalid_mode,method_tag,sweep,dataset_name,ood_envs,theory_ber,dimension,hdc_head,n_centroids,method_label
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.05,0,0.0,0,0.23629112662013957,0.26000782531102185,0.0,0.0,0.0,0.0,20500,217088,d6cb789,,False,0,none,none,32,0.04931640625,skip,hdc_k1,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,prototype,1.0,hdc_k1
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.1,0,0.0,0,0.23728813559322035,0.2602913772662248,0.0,0.0,0.0,0.0,20500,217088,d6cb789,,False,0,none,none,32,0.0994720458984375,skip,hdc_k1,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,prototype,1.0,hdc_k1
semantic2d_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.5175688509021842,0.4990051443663098,0.0,0.0,0.0,0.0,328000,217088,d6cb789,,False,0,none,none,32,0.0,skip,hdc_k16,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,prototype,16.0,hdc_k16
semantic2d_v1,test_id,pure_hdc,128,128.0,0.05,0,0.0,0,0.5080721747388414,0.4955166966209676,0.0,0.0,0.0,0.0,328000,217088,d6cb789,,False,0,none,none,32,0.04931640625,skip,hdc_k16,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,prototype,16.0,hdc_k16
semantic2d_v1,test_id,pure_hdc,128,128.0,0.1,0,0.0,0,0.5052231718898386,0.48138579449215646,0.0,0.0,0.0,0.0,328000,217088,d6cb789,,False,0,none,none,32,0.0994720458984375,skip,hdc_k16,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,prototype,16.0,hdc_k16
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.34230641409106016,0.29139597087269553,0.0,0.0,0.0,0.0,328000,217088,d6cb789,,False,0,none,none,32,0.0,skip,hdc_k16,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,prototype,16.0,hdc_k16
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.05,0,0.0,0,0.3482884679295447,0.3006163306935751,0.0,0.0,0.0,0.0,328000,217088,d6cb789,,False,0,none,none,32,0.04931640625,skip,hdc_k16,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,prototype,16.0,hdc_k16
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.1,0,0.0,0,0.3426387504154204,0.2910732137679084,0.0,0.0,0.0,0.0,328000,217088,d6cb789,,False,0,none,none,32,0.0994720458984375,skip,hdc_k16,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,prototype,16.0,hdc_k16
semantic2d_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.4131054131054131,0.4287384380151932,0.0,0.0,0.0,0.0,41000,217088,d6cb789,,False,0,none,none,32,0.0,skip,hdc_linear,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,linear,1.0,hdc_linear
semantic2d_v1,test_id,pure_hdc,128,128.0,0.05,0,0.0,0,0.38746438746438744,0.39164827909475985,0.0,0.0,0.0,0.0,41000,217088,d6cb789,,False,0,none,none,32,0.04931640625,skip,hdc_linear,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,linear,1.0,hdc_linear
semantic2d_v1,test_id,pure_hdc,128,128.0,0.1,0,0.0,0,0.36182336182336183,0.3440183946388461,0.0,0.0,0.0,0.0,41000,217088,d6cb789,,False,0,none,none,32,0.0994720458984375,skip,hdc_linear,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,linear,1.0,hdc_linear
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.32103688933200397,0.2826132051968498,0.0,0.0,0.0,0.0,41000,217088,d6cb789,,False,0,none,none,32,0.0,skip,hdc_linear,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,linear,1.0,hdc_linear
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.05,0,0.0,0,0.27916251246261214,0.2508290083057199,0.0,0.0,0.0,0.0,41000,217088,d6cb789,,False,0,none,none,32,0.04931640625,skip,hdc_linear,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,linear,1.0,hdc_linear
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.1,0,0.0,0,0.27583914921900965,0.2528401319923887,0.0,0.0,0.0,0.0,41000,217088,d6cb789,,False,0,none,none,32,0.0994720458984375,skip,hdc_linear,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,linear,1.0,hdc_linear
semantic2d_v1,test_id,quantized,128,128.0,0.0,0,0.0,1,0.35517568850902187,0.32186954427821135,0.0,0.0,0.0,0.0,2420,0,d6cb789,120.0,False,0,none,none,32,0.0,fill,quantized,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,,,,quantized
semantic2d_v1,test_id,quantized,128,128.0,0.05,0,0.0,1,0.20417853751187084,0.19235284961758745,0.0,0.0,0.0,0.0,2420,0,d6cb789,120.0,False,0,none,none,32,0.050750732421875,fill,quantized,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,,,,quantized
