dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,invalid_mode,method_tag,sweep,dataset_name,ood_envs,theory_ber,dimension,hdc_head,n_centroids,method_label
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,2,0.22864739115985377,0.2533289679898154,0.0,0.0,0.0,0.0,20500,217088,d6cb789,,False,0,none,none,32,0.0,skip,hdc_k1,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,prototype,1.0,hdc_k1
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.05,0,0.0,2,0.2326354270521768,0.2532592553707479,0.0,0.0,0.0,0.0,20500,217088,d6cb789,,False,0,none,none,32,0.0500030517578125,skip,hdc_k1,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,prototype,1.0,hdc_k1
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.1,0,0.0,2,0.23363243602525757,0.25083883440219507,0.0,0.0,0.0,0.0,20500,217088,d6cb789,,False,0,none,none,32,0.1000518798828125,skip,hdc_k1,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,prototype,1.0,hdc_k1
semantic2d_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,2,0.49477682811016144,0.46946159435330176,0.0,0.0,0.0,0.0,328000,217088,d6cb789,,False,0,none,none,32,0.0,skip,hdc_k16,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,prototype,16.0,hdc_k16
semantic2d_v1,test_id,pure_hdc,128,128.0,0.05,0,0.0,2,0.5061728395061729,0.47572562952386255,0.0,0.0,0.0,0.0,328000,217088,d6cb789,,False,0,none,none,32,0.0500030517578125,skip,hdc_k16,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,prototype,16.0,hdc_k16
semantic2d_v1,test_id,pure_hdc,128,128.0,0.1,0,0.0,2,0.4928774928774929,0.45328401264252527,0.0,0.0,0.0,0.0,328000,217088,d6cb789,,False,0,none,none,32,0.1000518798828125,skip,hdc_k16,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,prototype,16.0,hdc_k16
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,2,0.33532735127949487,0.29079060682085417,0.0,0.0,0.0,0.0,328000,217088,d6cb789,,False,0,none,none,32,0.0,skip,hdc_k16,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,prototype,16.0,hdc_k16
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.05,0,0.0,2,0.33233632436025257,0.2826907830684825,0.0,0.0,0.0,0.0,328000,217088,d6cb789,,False,0,none,none,32,0.0500030517578125,skip,hdc_k16,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,prototype,16.0,hdc_k16
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.1,0,0.0,2,0.33233632436025257,0.28518070033778703,0.0,0.0,0.0,0.0,328000,217088,d6cb789,,False,0,none,none,32,0.1000518798828125,skip,hdc_k16,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,prototype,16.0,hdc_k16
semantic2d_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,2,0.4843304843304843,0.4408836933533243,0.0,0.0,0.0,0.0,41000,217088,d6cb789,,False,0,none,none,32,0.0,skip,hdc_linear,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,linear,1.0,hdc_linear
semantic2d_v1,test_id,pure_hdc,128,128.0,0.05,0,0.0,2,0.4188034188034188,0.3707112188928715,0.0,0.0,0.0,0.0,41000,217088,d6cb789,,False,0,none,none,32,0.0500030517578125,skip,hdc_linear,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,linear,1.0,hdc_linear
semantic2d_v1,test_id,pure_hdc,128,128.0,0.1,0,0.0,2,0.36087369420702753,0.29787602780825345,0.0,0.0,0.0,0.0,41000,217088,d6cb789,,False,0,none,none,32,0.1000518798828125,skip,hdc_linear,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,linear,1.0,hdc_linear
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,2,0.3403123961448986,0.2877481389832105,0.0,0.0,0.0,0.0,41000,217088,d6cb789,,False,0,none,none,32,0.0,skip,hdc_linear,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,linear,1.0,hdc_linear
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.05,0,0.0,2,0.30608175473579263,0.2655244958384102,0.0,0.0,0.0,0.0,41000,217088,d6cb789,,False,0,none,none,32,0.0500030517578125,skip,hdc_linear,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,linear,1.0,hdc_linear
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.1,0,0.0,2,0.29278830176138254,0.2541082483274312,0.0,0.0,0.0,0.0,41000,217088,d6cb789,,False,0,none,none,32,0.1000518798828125,skip,hdc_linear,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,linear,1.0,hdc_linear
