dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,n_comp,dimension,method_label
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.1,0,0.728251864125932,0.658827799816828,0.0,0.0,0.0,0.0,81940,868352,7383700,,True,0,none,none,32,0.04132843017578125,,4096.0,pure_hdc_D4096+intl
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.2,0,0.7257663628831814,0.6558712056818579,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,none,none,32,0.091461181640625,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.2,0,0.7249378624689312,0.653343446249851,0.0,0.0,0.0,0.0,81940,868352,7383700,,True,0,none,none,32,0.09128952026367188,,4096.0,pure_hdc_D4096+intl
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.4,0,0.7224523612261806,0.6478762898116492,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,none,none,32,0.20368194580078125,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.4,0,0.728251864125932,0.6538028394569757,0.0,0.0,0.0,0.0,81940,868352,7383700,,True,0,none,none,32,0.20370101928710938,,4096.0,pure_hdc_D4096+intl
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,1,0.7473073736536868,0.6436382849372578,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,none,none,32,0.0,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.1,1,0.6743993371996686,0.5836663476083055,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,none,none,32,0.033670628324468085,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.1,1,0.5666942833471417,0.497385862304456,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,True,0,none,none,32,0.036112034574468085,,,quantized+intl
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.2,1,0.6031483015741508,0.5303316662320531,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,none,none,32,0.06571018949468085,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.2,1,0.45981772990886494,0.42094009051713,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,True,0,none,none,32,0.06836976396276596,,,quantized+intl
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.4,1,0.424192212096106,0.39383687990031924,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,none,none,32,0.14614153922872342,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.4,1,0.28583264291632143,0.27165946383967354,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,True,0,none,none,32,0.14325340757978722,,,quantized+intl
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,1,0.7547638773819387,0.6430222945087841,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,none,none,32,0.0,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.1,1,0.6843413421706711,0.5882732586152626,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,none,none,32,0.04351806640625,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.1,1,0.6147473073736537,0.536621687101047,0.0,0.0,0.0,0.0,2540,94320,7383700,,True,0,none,none,32,0.043060302734375,126.0,,pca+intl
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.2,1,0.6205468102734052,0.5430293567792053,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,none,none,32,0.09039306640625,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.2,1,0.49544324772162385,0.44294320004605126,0.0,0.0,0.0,0.0,2540,94320,7383700,,True,0,none,none,32,0.09045028686523438,126.0,,pca+intl
