dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,snr_db,fading,coherence_symbols,empirical_ber,theory_ber,channel_kind,method_tag,sweep,dimension,hdc_head,n_centroids,method_label
sim_indoor_v1,test_ood,quantized,128,128.0,0.0,0,0.0,0,0.44418192557590075,0.3681200731868564,0.0,0.0,0.0,0.0,2420,0,232e20a,120.0,False,0,bpsk,4.0,rayleigh_block,32,0.0740966796875,0.07713691605639106,bpsk_rayleigh_block,quantized,k16_radio,,,,quantized
sim_indoor_v1,test_ood,quantized,128,128.0,0.0,0,0.0,0,0.36798582398109864,0.2686344507448402,0.0,0.0,0.0,0.0,2420,0,232e20a,120.0,False,0,bpsk,0.0,rayleigh_block,32,0.1442718505859375,0.1464466094067262,bpsk_rayleigh_block,quantized,k16_radio,,,,quantized
sim_indoor_v1,test_ood,quantized,128,128.0,0.0,0,0.0,0,0.344949793266391,0.24223317465227848,0.0,0.0,0.0,0.0,2420,0,232e20a,120.0,False,0,bpsk,-2.0,rayleigh_block,32,0.18682861328125,0.18900836834134227,bpsk_rayleigh_block,quantized,k16_radio,,,,quantized
sim_indoor_v1,test_ood,quantized,128,128.0,0.00019090777407599314,0,0.0,0,0.7318369757826344,0.6007618311134242,0.0,0.0,0.0,0.0,2420,0,232e20a,120.0,False,0,none,8.0,none,32,0.000152587890625,0.00019090777407599314,matched_ber,quantized,k16_radio,,,,quantized
sim_indoor_v1,test_ood,quantized,128,128.0,0.01250081804073755,0,0.0,0,0.5948021264028353,0.4822383888859981,0.0,0.0,0.0,0.0,2420,0,232e20a,120.0,False,0,none,4.0,none,32,0.0121002197265625,0.01250081804073755,matched_ber,quantized,k16_radio,,,,quantized
sim_indoor_v1,test_ood,quantized,128,128.0,0.07864960352514258,0,0.0,0,0.41051388068517425,0.32789911944385147,0.0,0.0,0.0,0.0,2420,0,232e20a,120.0,False,0,none,0.0,none,32,0.0784149169921875,0.07864960352514258,matched_ber,quantized,k16_radio,,,,quantized
sim_indoor_v1,test_ood,quantized,128,128.0,0.13064448852282917,0,0.0,0,0.37389249852333134,0.2828339124559344,0.0,0.0,0.0,0.0,2420,0,232e20a,120.0,False,0,none,-2.0,none,32,0.130126953125,0.13064448852282917,matched_ber,quantized,k16_radio,,,,quantized
sim_indoor_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.8616404308202155,0.7951526286734281,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,bpsk,8.0,none,32,0.0001220703125,0.00019090777407599314,bpsk_awgn,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.835956917978459,0.768400148567563,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,bpsk,4.0,none,32,0.0122528076171875,0.01250081804073755,bpsk_awgn,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.7050538525269263,0.6235416542967236,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,bpsk,0.0,none,32,0.0771026611328125,0.07864960352514258,bpsk_awgn,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.6536868268434134,0.5612108866134912,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,bpsk,-2.0,none,32,0.129730224609375,0.13064448852282917,bpsk_awgn,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.7854183927091963,0.7101365852255809,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,bpsk,8.0,rayleigh_block,32,0.034576416015625,0.03545906762783807,bpsk_rayleigh_block,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.7191383595691798,0.6470178783839513,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,bpsk,4.0,rayleigh_block,32,0.0761260986328125,0.07713691605639106,bpsk_rayleigh_block,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.6362883181441591,0.5615397047573892,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,bpsk,0.0,rayleigh_block,32,0.1443634033203125,0.1464466094067262,bpsk_rayleigh_block,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.5816072908036454,0.5147325271295846,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,bpsk,-2.0,rayleigh_block,32,0.1874542236328125,0.18900836834134227,bpsk_rayleigh_block,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,128,128.0,0.00019090777407599314,0,0.0,0,0.8649544324772163,0.8015298062118348,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,none,8.0,none,32,0.000152587890625,0.00019090777407599314,matched_ber,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,128,128.0,0.01250081804073755,0,0.0,0,0.8367854183927091,0.774813658343781,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,none,4.0,none,32,0.0121002197265625,0.01250081804073755,matched_ber,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,128,128.0,0.07864960352514258,0,0.0,0,0.7183098591549296,0.6364157862408273,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,none,0.0,none,32,0.0784149169921875,0.07864960352514258,matched_ber,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,128,128.0,0.13064448852282917,0,0.0,0,0.6553438276719138,0.577335567961998,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,none,-2.0,none,32,0.130126953125,0.13064448852282917,matched_ber,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.5853514471352629,0.5131996814640415,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,bpsk,8.0,none,32,9.1552734375e-05,0.00019090777407599314,bpsk_awgn,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.564087418783225,0.4880589311087215,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,bpsk,4.0,none,32,0.012054443359375,0.01250081804073755,bpsk_awgn,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.509746012994684,0.44423761988092947,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,bpsk,0.0,none,32,0.077362060546875,0.07864960352514258,bpsk_awgn,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.4678086237448317,0.4239511431739048,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,bpsk,-2.0,none,32,0.1297760009765625,0.13064448852282917,bpsk_awgn,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.5404607206142942,0.46793420710239,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,bpsk,8.0,rayleigh_block,32,0.034820556640625,0.03545906762783807,bpsk_rayleigh_block,binary_hash,k16_radio,1024.0,,,binary_hash
