dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,sensor,invalid_mode,invalid_storage,method_tag,sweep,dataset_name,label_source,dimension,hdc_head,n_centroids,method_label
lidardataframes_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.8192771084337349,0.8169853982783044,0.0,0.0,0.0,0.0,16400,737280,bd48481,clean,fill,max_range,binary_hash,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,,,binary_hash
lidardataframes_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.5542168674698795,0.5095453356745245,0.0,0.0,0.0,0.0,16400,737280,bd48481,beam_drop:drop_rate=0.1,fill,max_range,binary_hash,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,,,binary_hash
lidardataframes_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.4457831325301205,0.3799754983851208,0.0,0.0,0.0,0.0,16400,737280,bd48481,beam_drop:drop_rate=0.3,fill,max_range,binary_hash,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,,,binary_hash
lidardataframes_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.5060240963855421,0.49230004967709884,0.0,0.0,0.0,0.0,16400,737280,bd48481,sector_drop:fraction=0.15,fill,max_range,binary_hash,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,,,binary_hash
lidardataframes_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.42168674698795183,0.3821958183660311,0.0,0.0,0.0,0.0,16400,737280,bd48481,sector_drop:fraction=0.3,fill,max_range,binary_hash,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,,,binary_hash
lidardataframes_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.7951807228915663,0.7947244344892428,0.0,0.0,0.0,0.0,16400,737280,bd48481,range_bias:bias=0.25,fill,max_range,binary_hash,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,,,binary_hash
lidardataframes_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.8072289156626506,0.8061953664649428,0.0,0.0,0.0,0.0,16400,737280,bd48481,range_scale:scale=1.15,fill,max_range,binary_hash,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,,,binary_hash
lidardataframes_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.8072289156626506,0.8042579853890044,0.0,0.0,0.0,0.0,16400,737280,bd48481,gauss:sigma=0.05,fill,max_range,binary_hash,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,,,binary_hash
lidardataframes_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.8072289156626506,0.8022844272844273,0.0,0.0,0.0,0.0,16400,737280,bd48481,gauss:sigma=0.15,fill,max_range,binary_hash,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,,,binary_hash
lidardataframes_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.6746987951807228,0.6466003027972468,0.0,0.0,0.0,0.0,16400,737280,bd48481,clip:clip_to=6.0,fill,max_range,binary_hash,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,,,binary_hash
lidardataframes_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.7804878048780488,0.7768522848310082,0.0,0.0,0.0,0.0,16400,737280,bd48481,clean,fill,max_range,binary_hash,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,,,binary_hash
lidardataframes_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.5,0.46323796323796324,0.0,0.0,0.0,0.0,16400,737280,bd48481,beam_drop:drop_rate=0.1,fill,max_range,binary_hash,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,,,binary_hash
lidardataframes_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.524390243902439,0.454949494949495,0.0,0.0,0.0,0.0,16400,737280,bd48481,beam_drop:drop_rate=0.3,fill,max_range,binary_hash,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,,,binary_hash
lidardataframes_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.573170731707317,0.5768633397665656,0.0,0.0,0.0,0.0,16400,737280,bd48481,sector_drop:fraction=0.15,fill,max_range,binary_hash,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,,,binary_hash
lidardataframes_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.5,0.49184807056660607,0.0,0.0,0.0,0.0,16400,737280,bd48481,sector_drop:fraction=0.3,fill,max_range,binary_hash,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,,,binary_hash
