dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,dimension,interleave,n_bursts,hybrid_mode,method_label
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.01,0,0.0,1,0.7265948632974316,0.6276322238039405,0.0,0.0,0.0,0.0,81940,1048576,51d3d02,4096.0,False,0,frozen,hybrid_hdc:frozen
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.05,0,0.0,1,0.7232808616404308,0.6235736297219748,0.0,0.0,0.0,0.0,81940,1048576,51d3d02,4096.0,False,0,frozen,hybrid_hdc:frozen
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.1,0,0.0,1,0.724109362054681,0.6253990130433899,0.0,0.0,0.0,0.0,81940,1048576,51d3d02,4096.0,False,0,frozen,hybrid_hdc:frozen
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,1,0.7406793703396851,0.6448655694005827,0.0,0.0,0.0,0.0,81940,533268,51d3d02,4096.0,False,0,task,hybrid_hdc:task
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.01,0,0.0,1,0.7415078707539354,0.6482249213410041,0.0,0.0,0.0,0.0,81940,533268,51d3d02,4096.0,False,0,task,hybrid_hdc:task
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.05,0,0.0,1,0.7398508699254349,0.6442624977105289,0.0,0.0,0.0,0.0,81940,533268,51d3d02,4096.0,False,0,task,hybrid_hdc:task
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.1,0,0.0,1,0.7373653686826843,0.6408493491859477,0.0,0.0,0.0,0.0,81940,533268,51d3d02,4096.0,False,0,task,hybrid_hdc:task
sim_indoor_v1,test_id,autoencoder,512,188.0,0.0,0,0.0,1,0.9022369511184756,0.8410619621683535,0.0,0.0,0.0,0.0,3620,1044000,51d3d02,,False,0,,autoencoder
sim_indoor_v1,test_id,autoencoder,512,188.0,0.01,0,0.0,1,0.5095277547638773,0.4530512518452814,0.0,0.0,0.0,0.0,3620,1044000,51d3d02,,False,0,,autoencoder
sim_indoor_v1,test_id,autoencoder,512,188.0,0.05,0,0.0,1,0.32228666114333054,0.28908342830995276,0.0,0.0,0.0,0.0,3620,1044000,51d3d02,,False,0,,autoencoder
sim_indoor_v1,test_id,autoencoder,512,188.0,0.1,0,0.0,1,0.28003314001657,0.24609813238813044,0.0,0.0,0.0,0.0,3620,1044000,51d3d02,,False,0,,autoencoder
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,2,0.9221209610604806,0.8766804510670834,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,4096.0,False,0,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.01,0,0.0,2,0.9154929577464789,0.8709984581765239,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,4096.0,False,0,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.05,0,0.0,2,0.875724937862469,0.821259547619636,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,4096.0,False,0,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.1,0,0.0,2,0.8376139188069595,0.7614697551533712,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,4096.0,False,0,,binary_hash
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,2,0.7332228666114333,0.6651585878194195,0.0,0.0,0.0,0.0,81940,868352,51d3d02,4096.0,False,0,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,2,0.7340513670256835,0.6657106025336534,0.0,0.0,0.0,0.0,81940,868352,51d3d02,4096.0,False,0,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,2,0.7332228666114333,0.6665796438495676,0.0,0.0,0.0,0.0,81940,868352,51d3d02,4096.0,False,0,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.1,0,0.0,2,0.7299088649544325,0.6618901973604304,0.0,0.0,0.0,0.0,81940,868352,51d3d02,4096.0,False,0,,pure_hdc_D4096
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,2,0.7307373653686827,0.6348832125343897,0.0,0.0,0.0,0.0,81940,1048576,51d3d02,4096.0,False,0,frozen,hybrid_hdc:frozen
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.01,0,0.0,2,0.7290803645401823,0.6347842770385473,0.0,0.0,0.0,0.0,81940,1048576,51d3d02,4096.0,False,0,frozen,hybrid_hdc:frozen
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.05,0,0.0,2,0.7299088649544325,0.6344559851912792,0.0,0.0,0.0,0.0,81940,1048576,51d3d02,4096.0,False,0,frozen,hybrid_hdc:frozen
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.1,0,0.0,2,0.7257663628831814,0.6299505289298826,0.0,0.0,0.0,0.0,81940,1048576,51d3d02,4096.0,False,0,frozen,hybrid_hdc:frozen
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,2,0.768019884009942,0.6710304086486568,0.0,0.0,0.0,0.0,81940,533268,51d3d02,4096.0,False,0,task,hybrid_hdc:task
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.01,0,0.0,2,0.7688483844241922,0.671688218314546,0.0,0.0,0.0,0.0,81940,533268,51d3d02,4096.0,False,0,task,hybrid_hdc:task
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.05,0,0.0,2,0.7688483844241922,0.6720334133247274,0.0,0.0,0.0,0.0,81940,533268,51d3d02,4096.0,False,0,task,hybrid_hdc:task
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.1,0,0.0,2,0.768019884009942,0.669429225196595,0.0,0.0,0.0,0.0,81940,533268,51d3d02,4096.0,False,0,task,hybrid_hdc:task
sim_indoor_v1,test_id,autoencoder,512,188.0,0.0,0,0.0,2,0.8989229494614748,0.8476260083848375,0.0,0.0,0.0,0.0,3620,1044000,51d3d02,,False,0,,autoencoder
sim_indoor_v1,test_id,autoencoder,512,188.0,0.01,0,0.0,2,0.4855012427506214,0.4344809804365644,0.0,0.0,0.0,0.0,3620,1044000,51d3d02,,False,0,,autoencoder
sim_indoor_v1,test_id,autoencoder,512,188.0,0.05,0,0.0,2,0.3115161557580779,0.28279974663964447,0.0,0.0,0.0,0.0,3620,1044000,51d3d02,,False,0,,autoencoder
sim_indoor_v1,test_id,autoencoder,512,188.0,0.1,0,0.0,2,0.24937862468931235,0.22272822082153404,0.0,0.0,0.0,0.0,3620,1044000,51d3d02,,False,0,,autoencoder
