dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,sensor,method_tag,sweep,dimension,hdc_head,n_centroids,method_label
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.38193869096934546,0.33010496622417995,0.0,0.0,0.0,0.0,81940,2949120,f288d40,sector_drop:fraction=0.15,binary_hash,k16_sensor,4096.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.2626346313173157,0.22469036007116633,0.0,0.0,0.0,0.0,81940,2949120,f288d40,sector_drop:fraction=0.3,binary_hash,k16_sensor,4096.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9088649544324772,0.8573394374823836,0.0,0.0,0.0,0.0,81940,2949120,f288d40,range_bias:bias=0.25,binary_hash,k16_sensor,4096.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9105219552609777,0.8609817489298128,0.0,0.0,0.0,0.0,81940,2949120,f288d40,range_scale:scale=1.15,binary_hash,k16_sensor,4096.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9138359569179785,0.8627491524248324,0.0,0.0,0.0,0.0,81940,2949120,f288d40,gauss:sigma=0.05,binary_hash,k16_sensor,4096.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9105219552609777,0.8593932700069317,0.0,0.0,0.0,0.0,81940,2949120,f288d40,gauss:sigma=0.15,binary_hash,k16_sensor,4096.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.820215410107705,0.7652802162836257,0.0,0.0,0.0,0.0,81940,2949120,f288d40,clip:clip_to=6.0,binary_hash,k16_sensor,4096.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.6249261665682221,0.54033424196439,0.0,0.0,0.0,0.0,81940,2949120,f288d40,clean,binary_hash,k16_sensor,4096.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.4282339043118724,0.4245601953917205,0.0,0.0,0.0,0.0,81940,2949120,f288d40,beam_drop:drop_rate=0.1,binary_hash,k16_sensor,4096.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.24630832841110456,0.2587004961021998,0.0,0.0,0.0,0.0,81940,2949120,f288d40,beam_drop:drop_rate=0.3,binary_hash,k16_sensor,4096.0,,,binary_hash
