dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,n_comp,dimension
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.1,1,0.6843413421706711,0.5882732586152626,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.2,1,0.6205468102734052,0.5430293567792053,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.4,1,0.512013256006628,0.4624411527243487,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,1,0.9270919635459818,0.8840642692353267,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.01,1,0.9246064623032312,0.8795826927841606,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.05,1,0.9072079536039768,0.8651824616444038,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.1,1,0.8864954432477217,0.829753546199511,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.2,1,0.8293289146644574,0.7619360589318955,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.4,1,0.7232808616404308,0.6587711039318523,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.7307373653686827,0.662479807302779,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.01,1,0.7307373653686827,0.6617073668489935,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.05,1,0.7340513670256835,0.6672052287666619,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.1,1,0.7357083678541839,0.6672819808444862,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.2,1,0.7274233637116818,0.6578291688792718,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.4,1,0.7207953603976802,0.6449144293754104,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,2,0.7473073736536868,0.6436382849372578,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.01,2,0.7423363711681856,0.63765510395102,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.05,2,0.7100248550124275,0.6107436559875563,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.1,2,0.6611433305716653,0.5678095813925246,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.2,2,0.584092792046396,0.5070936779141335,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.4,2,0.415907207953604,0.3758884600526924,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
