dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,sensor,dimension,hybrid_mode,method_label
sim_indoor_v1,test_ood,pca,512,512.0,0.0,0,0.0,0,0.4453632604843473,0.3471844345242757,0.0,0.0,0.0,0.0,2540,94320,51d3d02,beam_drop:drop_rate=0.1,,,pca
sim_indoor_v1,test_ood,pca,512,512.0,0.0,0,0.0,0,0.38511518015357354,0.2597183142604543,0.0,0.0,0.0,0.0,2540,94320,51d3d02,beam_drop:drop_rate=0.3,,,pca
sim_indoor_v1,test_ood,pca,512,512.0,0.0,0,0.0,0,0.5221500295333728,0.3523036870257468,0.0,0.0,0.0,0.0,2540,94320,51d3d02,sector_drop:fraction=0.15,,,pca
sim_indoor_v1,test_ood,pca,512,512.0,0.0,0,0.0,0,0.48080330773774366,0.2692226807488995,0.0,0.0,0.0,0.0,2540,94320,51d3d02,sector_drop:fraction=0.3,,,pca
sim_indoor_v1,test_ood,pca,512,512.0,0.0,0,0.0,0,0.67690490253987,0.5484679964553623,0.0,0.0,0.0,0.0,2540,94320,51d3d02,range_bias:bias=0.25,,,pca
sim_indoor_v1,test_ood,pca,512,512.0,0.0,0,0.0,0,0.6331955109273479,0.5024414080452064,0.0,0.0,0.0,0.0,2540,94320,51d3d02,range_scale:scale=1.15,,,pca
sim_indoor_v1,test_ood,pca,512,512.0,0.0,0,0.0,0,0.7347903130537508,0.5994690019677394,0.0,0.0,0.0,0.0,2540,94320,51d3d02,gauss:sigma=0.05,,,pca
sim_indoor_v1,test_ood,pca,512,512.0,0.0,0,0.0,0,0.7259303012404017,0.5929150701416024,0.0,0.0,0.0,0.0,2540,94320,51d3d02,gauss:sigma=0.15,,,pca
sim_indoor_v1,test_ood,pca,512,512.0,0.0,0,0.0,0,0.6266981689308919,0.5454545294306379,0.0,0.0,0.0,0.0,2540,94320,51d3d02,clip:clip_to=6.0,,,pca
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9154929577464789,0.8662026074723801,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,clean,4096.0,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.49378624689312345,0.4433639544057512,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,beam_drop:drop_rate=0.1,4096.0,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.19469759734879868,0.19133727297223152,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,beam_drop:drop_rate=0.3,4096.0,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.38193869096934546,0.33010496622417995,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,sector_drop:fraction=0.15,4096.0,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.2626346313173157,0.22469036007116633,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,sector_drop:fraction=0.3,4096.0,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9088649544324772,0.8573394374823836,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,range_bias:bias=0.25,4096.0,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9105219552609777,0.8609817489298128,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,range_scale:scale=1.15,4096.0,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9138359569179785,0.8627491524248324,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,gauss:sigma=0.05,4096.0,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9105219552609777,0.8593932700069317,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,gauss:sigma=0.15,4096.0,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.820215410107705,0.7652802162836257,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,clip:clip_to=6.0,4096.0,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.6249261665682221,0.54033424196439,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,clean,4096.0,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.4282339043118724,0.4245601953917205,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,beam_drop:drop_rate=0.1,4096.0,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.24630832841110456,0.2587004961021998,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,beam_drop:drop_rate=0.3,4096.0,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.3691671588895452,0.34659224818396983,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,sector_drop:fraction=0.15,4096.0,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.29356172474896636,0.25632132772406174,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,sector_drop:fraction=0.3,4096.0,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.6255168340224454,0.544016383853332,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,range_bias:bias=0.25,4096.0,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.6018901358535145,0.5263099970408722,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,range_scale:scale=1.15,4096.0,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.6166568222090962,0.5358487878385334,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,gauss:sigma=0.05,4096.0,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.6166568222090962,0.540584550996113,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,gauss:sigma=0.15,4096.0,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.5239220318960425,0.48605286738655773,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,clip:clip_to=6.0,4096.0,,binary_hash
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7299088649544325,0.6638516578731524,0.0,0.0,0.0,0.0,81940,868352,51d3d02,clean,4096.0,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.6694283347141674,0.623131499725549,0.0,0.0,0.0,0.0,81940,868352,51d3d02,beam_drop:drop_rate=0.1,4096.0,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.49212924606462305,0.37478968413203206,0.0,0.0,0.0,0.0,81940,868352,51d3d02,beam_drop:drop_rate=0.3,4096.0,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.5741507870753936,0.5089819754890923,0.0,0.0,0.0,0.0,81940,868352,51d3d02,sector_drop:fraction=0.15,4096.0,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.44739022369511183,0.31373600459379014,0.0,0.0,0.0,0.0,81940,868352,51d3d02,sector_drop:fraction=0.3,4096.0,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7357083678541839,0.6599213572394788,0.0,0.0,0.0,0.0,81940,868352,51d3d02,range_bias:bias=0.25,4096.0,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7025683512841756,0.6343809376152052,0.0,0.0,0.0,0.0,81940,868352,51d3d02,range_scale:scale=1.15,4096.0,,pure_hdc_D4096
