dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,sensor,dimension,invalid_mode,invalid_storage,method_tag,sweep,hdc_head,n_centroids,method_label
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.9585749792874897,0.9319390566143813,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,beam_drop:drop_rate=0.1,4096,skip,nan,hdc_k16/skip,k16_sector_encode,prototype,16.0,hdc_k16/skip
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.951946975973488,0.9256995394097597,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,beam_drop:drop_rate=0.3,4096,skip,nan,hdc_k16/skip,k16_sector_encode,prototype,16.0,hdc_k16/skip
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.9411764705882353,0.9074944516317147,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,sector_drop:fraction=0.15,4096,skip,nan,hdc_k16/skip,k16_sector_encode,prototype,16.0,hdc_k16/skip
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.899751449875725,0.8523344294913523,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,sector_drop:fraction=0.3,4096,skip,nan,hdc_k16/skip,k16_sector_encode,prototype,16.0,hdc_k16/skip
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.8476077968103958,0.7021949090745319,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,clean,4096,skip,nan,hdc_k16/skip,k16_sector_encode,prototype,16.0,hdc_k16/skip
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.8080330773774365,0.6637653389206911,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,beam_drop:drop_rate=0.1,4096,skip,nan,hdc_k16/skip,k16_sector_encode,prototype,16.0,hdc_k16/skip
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.7690490253987006,0.6136658364628145,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,beam_drop:drop_rate=0.3,4096,skip,nan,hdc_k16/skip,k16_sector_encode,prototype,16.0,hdc_k16/skip
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.7625516834022446,0.611652316333622,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,sector_drop:fraction=0.15,4096,skip,nan,hdc_k16/skip,k16_sector_encode,prototype,16.0,hdc_k16/skip
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.6952155936207915,0.5541268794923981,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,sector_drop:fraction=0.3,4096,skip,nan,hdc_k16/skip,k16_sector_encode,prototype,16.0,hdc_k16/skip
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.9577464788732394,0.9303367793652747,0.0,0.0,0.0,0.0,1311040,872448,bbbaed8,clean,4096,drop,nan,hdc_k16/drop,k16_sector_encode,prototype,16.0,hdc_k16/drop
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.9552609776304888,0.9262401318831983,0.0,0.0,0.0,0.0,1311040,872448,bbbaed8,beam_drop:drop_rate=0.1,4096,drop,nan,hdc_k16/drop,k16_sector_encode,prototype,16.0,hdc_k16/drop
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.9461474730737366,0.9165755380492218,0.0,0.0,0.0,0.0,1311040,872448,bbbaed8,beam_drop:drop_rate=0.3,4096,drop,nan,hdc_k16/drop,k16_sector_encode,prototype,16.0,hdc_k16/drop
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.9436619718309859,0.912753155820895,0.0,0.0,0.0,0.0,1311040,872448,bbbaed8,sector_drop:fraction=0.15,4096,drop,nan,hdc_k16/drop,k16_sector_encode,prototype,16.0,hdc_k16/drop
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.8956089478044739,0.8432805147074012,0.0,0.0,0.0,0.0,1311040,872448,bbbaed8,sector_drop:fraction=0.3,4096,drop,nan,hdc_k16/drop,k16_sector_encode,prototype,16.0,hdc_k16/drop
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.8476077968103958,0.7021949090745319,0.0,0.0,0.0,0.0,1311040,872448,bbbaed8,clean,4096,drop,nan,hdc_k16/drop,k16_sector_encode,prototype,16.0,hdc_k16/drop
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.8298877731836976,0.6848568489552342,0.0,0.0,0.0,0.0,1311040,872448,bbbaed8,beam_drop:drop_rate=0.1,4096,drop,nan,hdc_k16/drop,k16_sector_encode,prototype,16.0,hdc_k16/drop
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.8304784406379209,0.6843183486010311,0.0,0.0,0.0,0.0,1311040,872448,bbbaed8,beam_drop:drop_rate=0.3,4096,drop,nan,hdc_k16/drop,k16_sector_encode,prototype,16.0,hdc_k16/drop
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.7979917306556409,0.6478151506151939,0.0,0.0,0.0,0.0,1311040,872448,bbbaed8,sector_drop:fraction=0.15,4096,drop,nan,hdc_k16/drop,k16_sector_encode,prototype,16.0,hdc_k16/drop
