dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,dimension,interleave,n_bursts,n_centroids,modulation,fading,coherence_symbols,empirical_ber,theory_ber,hdc_head,method_label
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.9138359569179785,0.869737000962501,0.0,0.0,0.0,0.0,655520,868352,5e92fce,4096,False,0,8,none,none,32,0.0,,prototype,pure_hdc_D4096/k8
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,0,0.9146644573322287,0.8719420517624089,0.0,0.0,0.0,0.0,655520,868352,5e92fce,4096,False,0,8,none,none,32,0.00998687744140625,0.01,prototype,pure_hdc_D4096/k8
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,0,0.9146644573322287,0.8727115491225126,0.0,0.0,0.0,0.0,655520,868352,5e92fce,4096,False,0,8,none,none,32,0.04975128173828125,0.05,prototype,pure_hdc_D4096/k8
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.1,0,0.0,0,0.9121789560894781,0.8690728606838556,0.0,0.0,0.0,0.0,655520,868352,5e92fce,4096,False,0,8,none,none,32,0.09943008422851562,0.1,prototype,pure_hdc_D4096/k8
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.8121677495569994,0.690350921105974,0.0,0.0,0.0,0.0,655520,868352,5e92fce,4096,False,0,8,none,none,32,0.0,,prototype,pure_hdc_D4096/k8
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.01,0,0.0,0,0.8121677495569994,0.6912469430274377,0.0,0.0,0.0,0.0,655520,868352,5e92fce,4096,False,0,8,none,none,32,0.00998687744140625,0.01,prototype,pure_hdc_D4096/k8
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.05,0,0.0,0,0.8192557590076787,0.6997097716654881,0.0,0.0,0.0,0.0,655520,868352,5e92fce,4096,False,0,8,none,none,32,0.04975128173828125,0.05,prototype,pure_hdc_D4096/k8
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.1,0,0.0,0,0.8127584170112226,0.6910358807662454,0.0,0.0,0.0,0.0,655520,868352,5e92fce,4096,False,0,8,none,none,32,0.09943008422851562,0.1,prototype,pure_hdc_D4096/k8
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.9577464788732394,0.9303367793652747,0.0,0.0,0.0,0.0,1311040,868352,5e92fce,4096,False,0,16,none,none,32,0.0,,prototype,pure_hdc_D4096/k16
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,0,0.9585749792874897,0.9326450371194527,0.0,0.0,0.0,0.0,1311040,868352,5e92fce,4096,False,0,16,none,none,32,0.00998687744140625,0.01,prototype,pure_hdc_D4096/k16
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,0,0.956089478044739,0.9275456698622035,0.0,0.0,0.0,0.0,1311040,868352,5e92fce,4096,False,0,16,none,none,32,0.04975128173828125,0.05,prototype,pure_hdc_D4096/k16
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.1,0,0.0,0,0.9527754763877382,0.9225326795474746,0.0,0.0,0.0,0.0,1311040,868352,5e92fce,4096,False,0,16,none,none,32,0.09943008422851562,0.1,prototype,pure_hdc_D4096/k16
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.8476077968103958,0.7021949090745319,0.0,0.0,0.0,0.0,1311040,868352,5e92fce,4096,False,0,16,none,none,32,0.0,,prototype,pure_hdc_D4096/k16
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.01,0,0.0,0,0.8470171293561725,0.6999725537409259,0.0,0.0,0.0,0.0,1311040,868352,5e92fce,4096,False,0,16,none,none,32,0.00998687744140625,0.01,prototype,pure_hdc_D4096/k16
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.05,0,0.0,0,0.8452451269935026,0.7018706097528449,0.0,0.0,0.0,0.0,1311040,868352,5e92fce,4096,False,0,16,none,none,32,0.04975128173828125,0.05,prototype,pure_hdc_D4096/k16
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.1,0,0.0,0,0.8411104548139398,0.6981362068640512,0.0,0.0,0.0,0.0,1311040,868352,5e92fce,4096,False,0,16,none,none,32,0.09943008422851562,0.1,prototype,pure_hdc_D4096/k16
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.9784589892294946,0.9617930178238968,0.0,0.0,0.0,0.0,163880,868352,5e92fce,4096,False,0,1,none,none,32,0.0,,linear,pure_hdc_D4096+lin
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,0,0.9751449875724938,0.9565722185854941,0.0,0.0,0.0,0.0,163880,868352,5e92fce,4096,False,0,1,none,none,32,0.00998687744140625,0.01,linear,pure_hdc_D4096+lin
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,0,0.9743164871582436,0.9559564056914243,0.0,0.0,0.0,0.0,163880,868352,5e92fce,4096,False,0,1,none,none,32,0.04975128173828125,0.05,linear,pure_hdc_D4096+lin
