dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,method_tag,sweep,noise_kind,theory_ber,dimension,hdc_head,n_centroids,method_label
sim_indoor_v1,test_id,binary_hash,128,128.0,0.05,0,0.0,0,0.7613918806959403,0.6794493396594634,0.0,0.0,0.0,0.0,20500,737280,2dc1b09,,False,0,none,none,32,0.04931640625,binary_hash,k16_noise,ber,0.05,1024.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,128,128.0,0.1,0,0.0,0,0.6876553438276719,0.6104730202328457,0.0,0.0,0.0,0.0,20500,737280,2dc1b09,,False,0,none,none,32,0.0994720458984375,binary_hash,k16_noise,ber,0.1,1024.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,128,128.0,0.0,128,0.0,0,0.6545153272576636,0.5762384277751421,0.0,0.0,0.0,0.0,20500,737280,2dc1b09,,False,1,none,none,32,0.125,binary_hash,k16_noise,burst,,1024.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,128,128.0,0.0,512,0.0,0,0.15244407622203812,0.14725723944431146,0.0,0.0,0.0,0.0,20500,737280,2dc1b09,,False,1,none,none,32,0.5,binary_hash,k16_noise,burst,,1024.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,128,128.0,0.0,0,0.05,0,0.8367854183927091,0.7628183842391263,0.0,0.0,0.0,0.0,20500,737280,2dc1b09,,False,0,none,none,32,0.0148162841796875,binary_hash,k16_noise,plr,,1024.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,128,128.0,0.0,0,0.1,0,0.796188898094449,0.7135724395898979,0.0,0.0,0.0,0.0,20500,737280,2dc1b09,,False,0,none,none,32,0.0288238525390625,binary_hash,k16_noise,plr,,1024.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,128,128.0,0.0,0,0.2,0,0.704225352112676,0.6221072934173872,0.0,0.0,0.0,0.0,20500,737280,2dc1b09,,False,0,none,none,32,0.070831298828125,binary_hash,k16_noise,plr,,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.5871234494979327,0.51468412578152,0.0,0.0,0.0,0.0,20500,737280,2dc1b09,,False,0,none,none,32,0.0,binary_hash,k16_noise,ber,,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.01,0,0.0,0,0.564087418783225,0.494447521344436,0.0,0.0,0.0,0.0,20500,737280,2dc1b09,,False,0,none,none,32,0.0093841552734375,binary_hash,k16_noise,ber,0.01,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.05,0,0.0,0,0.5392793857058477,0.47439733563362746,0.0,0.0,0.0,0.0,20500,737280,2dc1b09,,False,0,none,none,32,0.04931640625,binary_hash,k16_noise,ber,0.05,1024.0,,,binary_hash
